Time [s],Value,Parity Error,Framing Error
0.000000000000000,0xD4,,
0.004898687500000,0xD5,,
0.009266500000000,0x41,,
0.018300250000000,0xD7,,
0.022662312500000,0x41,,
0.027030125000000,0x04,,
0.031397812500000,0x0B,,
0.035765625000000,0x46,,
0.040133437500000,0x02,,
0.044501125000000,0x25,,
0.048869000000000,0x55,,
1.068862250000000,0xD4,,
1.073228750000000,0xD5,,
1.077596562500000,0x41,,
1.086268125000000,0x02,,
1.090634812500000,0xA0,,
1.091674750000000,0x23,,
1.092714687500000,0x10,,
1.093754687500000,0x39,,
1.094794625000000,0x42,,
1.095834625000000,0x51,,
1.096874562500000,0x63,,
1.097914437500000,0x71,,
1.098954375000000,0x80,,
1.099994312500000,0x90,,
1.101034312500000,0xC0,,
1.102074250000000,0xB1,,
1.103114187500000,0xE2,,
1.104154187500000,0xF2,,
1.108521875000000,0x01,,
1.112896187500000,0xF3,,
1.117264000000000,0xC0,,
1.121631687500000,0xF4,,
1.125999500000000,0x08,,
1.130367250000000,0xF5,,
1.134735062500000,0x00,,
1.139102875000000,0xF6,,
1.143470562500000,0x0F,,
1.147838375000000,0xF7,,
1.152206187500000,0x01,,
1.156573875000000,0xF8,,
1.160941687500000,0x04,,
1.165309437500000,0xF9,,
1.169677250000000,0x74,,
1.174045062500000,0xFF,,
1.178412750000000,0xFF,,
1.182780562500000,0xFF,,
1.187148375000000,0xFF,,
1.191516062500000,0xFF,,
1.195883875000000,0xFF,,
1.200251625000000,0xFF,,
1.204619437500000,0xFF,,
1.208987250000000,0xFF,,
1.213354937500000,0xFF,,
1.217722750000000,0xFF,,
1.222090562500000,0xFF,,
1.226458312500000,0xFF,,
1.230826125000000,0xFF,,
1.235193812500000,0xFF,,
1.239561625000000,0xFF,,
1.243929437500000,0xFF,,
1.248297125000000,0xFF,,
1.252664937500000,0xFF,,
1.257032687500000,0xFF,,
1.261400500000000,0xFF,,
