Time [s],Value,Parity Error,Framing Error
0.000000000000000,0xD4,,
0.004693500000000,0xD5,,
0.009049687500000,0x41,,
0.016349937500000,0xD7,,
0.020705187500000,0x41,,
0.025061312500000,0x04,,
0.029417562500000,0x0B,,
0.033773750000000,0x46,,
0.038130000000000,0x02,,
0.042486250000000,0x25,,
0.046842437500000,0x55,,
1.078386687500000,0xD4,,
1.082739687500000,0xD5,,
1.087095937500000,0x41,,
1.094652937500000,0x02,,
1.099004125000000,0xA0,,
1.100041375000000,0x23,,
1.101078562500000,0x10,,
1.102115750000000,0x39,,
1.103153000000000,0x42,,
1.104190187500000,0x51,,
1.105227375000000,0x63,,
1.106264562500000,0x71,,
1.107301687500000,0x81,,
1.108338875000000,0x90,,
1.109376062500000,0xC0,,
1.110413312500000,0xB1,,
1.111450500000000,0xE2,,
1.112487687500000,0xF2,,
1.116843875000000,0x01,,
1.121206562500000,0xF3,,
1.125562812500000,0xC0,,
1.129919062500000,0xF4,,
1.134275250000000,0x08,,
1.138631500000000,0xF5,,
1.142987625000000,0x00,,
1.147343875000000,0xF6,,
1.151700062500000,0x0F,,
1.156056312500000,0xF7,,
1.160412562500000,0x01,,
1.164768750000000,0xF8,,
1.169125000000000,0x04,,
1.173481125000000,0xF9,,
1.177837375000000,0x74,,
1.182193562500000,0xFF,,
1.186549812500000,0xFF,,
1.190906062500000,0xFF,,
1.195262250000000,0xFF,,
1.199618500000000,0xFF,,
1.203974625000000,0xFF,,
1.208330875000000,0xFF,,
1.212687062500000,0xFF,,
1.217043312500000,0xFF,,
1.221399562500000,0xFF,,
1.225755750000000,0xFF,,
1.230112000000000,0xFF,,
1.234468125000000,0xFF,,
1.238824375000000,0xFF,,
1.243180562500000,0xFF,,
1.247536812500000,0xFF,,
1.251893062500000,0xFF,,
1.256249187500000,0xFF,,
1.260605500000000,0xFF,,
1.264961625000000,0xFF,,
1.269317875000000,0xFF,,
